#{"t_start": 1741831156.5895624, "env_id": "None"}
r,l,t
528.136037,513,1406.585806
577.846648,513,1414.997823
1219.050078,513,1421.914546
-670.404405,513,1429.784826
-827.846483,513,1443.564072
-1950.936955,513,1451.434989
-1456.370282,513,1459.153066
-107.132756,513,1466.843166
-1345.437375,513,1474.49663
3031.512728,513,1482.106192
-572.151754,513,1489.648271
-511.117209,513,1497.180571
-440.606453,513,1504.727005
241.616613,513,1512.296184
575.929415,513,1519.911014
-889.359904,513,1527.464682
1065.063068,513,1535.050929
186.792681,513,1542.844856
-1598.096682,513,1556.457188
-125.779035,513,1564.249562
-1134.227783,513,1571.923984
-1399.614127,513,1579.503876
-1315.0338,513,1587.000631
-317.100854,513,1594.477714
-439.293338,513,1601.967024
21.104248,513,1609.458471
-824.750329,513,1616.972674
-1334.568311,513,1624.442219
-1049.243062,513,1631.896573
-1080.701025,513,1639.321497
-639.258239,513,1646.750309
-685.583268,513,1654.16014
-382.369639,513,1667.072942
-1189.382031,513,1674.396008
-1006.844738,513,1681.563538
-297.852824,513,1688.753681
-745.398438,513,1695.899513
-581.98998,513,1703.03388
-1114.811596,513,1710.186767
-129.259783,513,1717.333567
-833.494811,513,1724.459411
-1349.71299,513,1731.563867
-963.608274,513,1738.676643
72.345307,513,1745.784938
-821.758441,513,1752.95315
-681.430062,513,1760.088331
-170.865899,513,1772.607402
-788.624706,513,1779.791394
-703.541108,513,1787.004654
-1110.098274,513,1794.17253
-39.550188,513,1801.310562
-680.288532,513,1808.47421
246.178693,513,1815.64589
-281.83743,513,1822.844085
-1214.862415,513,1830.648296
-2193.593209,513,1837.089934
-431.697594,513,1844.071689
-902.146335,513,1851.0778
-814.009895,513,1858.819096
-449.79696,513,1864.987902
-588.856117,513,1877.0437
-113.813569,513,1883.951271
627.81875,513,1890.876443
-141.105681,513,1897.836737
-245.18032,513,1904.784335
-716.630374,513,1911.745774
-165.603263,513,1920.836826
-103.069333,513,1925.625517
-183.182202,513,1932.600086
-351.37946,513,1939.544045
12014.205246,513,1948.801534
-708.248334,513,1954.451576
-313.185667,513,1962.141155
206.978632,513,1969.788314
-33.192591,513,1983.148804
884.117933,513,1990.827674
866.28233,513,1998.75486
1740.996298,513,2006.68896
1241.169772,513,2014.512376
1989.930192,513,2022.422501
1778.380711,513,2030.372611
1866.583447,513,2038.329396
948.406128,513,2046.317753
2424.971827,513,2054.326879
1481.533668,513,2062.203549
6038.78636,513,2070.182359
60.567426,513,2077.986315
1270.69844,513,2085.776874
-219.260663,513,2099.753743
-1296.78135,513,2107.791347
8.579236,513,2115.832283
418.60133,513,2123.884853
1657.29403,513,2131.84871
-172.230357,513,2139.653122
1210.452675,513,2147.452508
150.604464,513,2155.271264
-911.303527,513,2162.88268
